"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","BOUC-BEL-AIR (13)","Tous secteurs","Toutes énergies","conso","39231.4","tep"
"2007","BOULBON (13)","Tous secteurs","Toutes énergies","conso","2839.7","tep"
"2007","BOUYON (06)","Tous secteurs","Toutes énergies","conso","1032.1","tep"
"2007","BRANTES (84)","Tous secteurs","Toutes énergies","conso","212.7","tep"
"2007","BRAS (83)","Tous secteurs","Toutes énergies","conso","1896.3","tep"
"2007","BRAS-D'ASSE (04)","Tous secteurs","Toutes énergies","conso","919.3","tep"
"2007","BRAUX (04)","Tous secteurs","Toutes énergies","conso","156.8","tep"
"2007","BREIL-SUR-ROYA (06)","Tous secteurs","Toutes énergies","conso","3934.6","tep"
"2007","BRENON (83)","Tous secteurs","Toutes énergies","conso","78.0","tep"
"2007","BRÉZIERS (05)","Tous secteurs","Toutes énergies","conso","549.1","tep"
"2007","BRIANÇON (05)","Tous secteurs","Toutes énergies","conso","18907.9","tep"
"2007","BRIANÇONNET (06)","Tous secteurs","Toutes énergies","conso","330.2","tep"
"2007","BRIGNOLES (83)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","BRIGNOLES (83)","Tous secteurs","Toutes énergies","conso","60147.5","tep"
"2007","BRUE-AURIAC (83)","Tous secteurs","Toutes énergies","conso","1913.5","tep"
"2007","BRUNET (04)","Tous secteurs","Toutes énergies","conso","670.1","tep"
"2007","BUISSARD (05)","Tous secteurs","Toutes énergies","conso","217.0","tep"
"2007","BUISSON (84)","Tous secteurs","Toutes énergies","conso","1040.1","tep"
"2007","BUOUX (84)","Tous secteurs","Toutes énergies","conso","520.3","tep"
"2007","CABANNES (13)","Tous secteurs","Toutes énergies","conso","20047.5","tep"
"2007","CABASSE (83)","Tous secteurs","Toutes énergies","conso","15203.8","tep"
"2007","CABRIÈRES-D'AIGUES (84)","Tous secteurs","Toutes énergies","conso","919.1","tep"
"2007","CABRIÈRES-D'AVIGNON (84)","Tous secteurs","Toutes énergies","conso","3311.5","tep"
"2007","CABRIÈS (13)","Tous secteurs","Toutes énergies","conso","19198.2","tep"
"2007","CABRIS (06)","Tous secteurs","Toutes énergies","conso","3383.3","tep"
"2007","CADENET (84)","Tous secteurs","Toutes énergies","conso","6167.2","tep"
"2007","CADEROUSSE (84)","Tous secteurs","Toutes énergies","conso","5928.9","tep"
"2007","CADOLIVE (13)","Tous secteurs","Toutes énergies","conso","1747.7","tep"
"2007","CAGNES-SUR-MER (06)","Tous secteurs","Toutes énergies","conso","88989.8","tep"
"2007","CAILLE (06)","Tous secteurs","Toutes énergies","conso","432.1","tep"
"2007","CAIRANNE (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CAIRANNE (84)","Tous secteurs","Toutes énergies","conso","3270.0","tep"
"2007","CALLAS (83)","Tous secteurs","Toutes énergies","conso","2729.4","tep"
"2007","CALLIAN (83)","Tous secteurs","Toutes énergies","conso","5106.6","tep"
"2007","CAMARET-SUR-AIGUES (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CAMARET-SUR-AIGUES (84)","Tous secteurs","Toutes énergies","conso","6323.8","tep"
"2007","CAMPS-LA-SOURCE (83)","Tous secteurs","Toutes énergies","conso","2773.2","tep"
"2007","CANNES (06)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CANNES (06)","Tous secteurs","Toutes énergies","conso","132208.7","tep"
"2007","CANTARON (06)","Tous secteurs","Toutes énergies","conso","2252.7","tep"
"2007","CAP-D'AIL (06)","Tous secteurs","Toutes énergies","conso","12054.1","tep"
"2007","CARCÈS (83)","Tous secteurs","Toutes énergies","conso","3536.7","tep"
"2007","CARNOULES (83)","Tous secteurs","Toutes énergies","conso","7126.9","tep"
"2007","CARNOUX-EN-PROVENCE (13)","Tous secteurs","Toutes énergies","conso","6167.4","tep"
"2007","CAROMB (84)","Tous secteurs","Toutes énergies","conso","3784.7","tep"
"2007","CARPENTRAS (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CARPENTRAS (84)","Tous secteurs","Toutes énergies","conso","44274.5","tep"
"2007","CARQUEIRANNE (83)","Tous secteurs","Toutes énergies","conso","13450.7","tep"
"2007","CARROS (06)","Tous secteurs","Toutes énergies","conso","28178.2","tep"
"2007","CARRY-LE-ROUET (13)","Tous secteurs","Toutes énergies","conso","7921.8","tep"
"2007","CASENEUVE (84)","Tous secteurs","Toutes énergies","conso","890.3","tep"
"2007","CASSIS (13)","Tous secteurs","Toutes énergies","conso","22299.7","tep"
"2007","CASTAGNIERS (06)","Tous secteurs","Toutes énergies","conso","5189.9","tep"
"2007","CASTELLANE (04)","Tous secteurs","Toutes énergies","conso","4480.5","tep"
"2007","CASTELLAR (06)","Tous secteurs","Toutes énergies","conso","940.5","tep"
"2007","CASTELLET (84)","Tous secteurs","Toutes énergies","conso","402.5","tep"
"2007","CASTELLET-LÈS-SAUSSES (04)","Tous secteurs","Toutes énergies","conso","321.0","tep"
"2007","CASTILLON (06)","Tous secteurs","Toutes énergies","conso","3909.0","tep"
"2007","CAUMONT-SUR-DURANCE (84)","Tous secteurs","Toutes énergies","conso","9472.8","tep"
"2007","CAUSSOLS (06)","Tous secteurs","Toutes énergies","conso","945.2","tep"
"2007","CAVAILLON (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CAVAILLON (84)","Tous secteurs","Toutes énergies","conso","45641.8","tep"
"2007","CAVALAIRE-SUR-MER (83)","Tous secteurs","Toutes énergies","conso","10614.4","tep"
"2007","CEILLAC (05)","Tous secteurs","Toutes énergies","conso","1198.4","tep"
"2007","CÉRESTE (04)","Tous secteurs","Toutes énergies","conso","2806.9","tep"
"2007","CERVIÈRES (05)","Tous secteurs","Toutes énergies","conso","815.9","tep"
"2007","CEYRESTE (13)","Tous secteurs","Toutes énergies","conso","6022.6","tep"
"2007","CHABESTAN (05)","Tous secteurs","Toutes énergies","conso","524.5","tep"
"2007","CHABOTTES (05)","Tous secteurs","Toutes énergies","conso","1266.0","tep"
"2007","CHAMPCELLA (05)","Tous secteurs","Toutes énergies","conso","302.4","tep"
"2007","CHAMPOLÉON (05)","Tous secteurs","Toutes énergies","conso","356.7","tep"
"2007","CHAMPTERCIER (04)","Tous secteurs","Toutes énergies","conso","1365.0","tep"
"2007","CHANOUSSE (05)","Tous secteurs","Toutes énergies","conso","238.9","tep"
"2007","CHARLEVAL (13)","Tous secteurs","Toutes énergies","conso","2572.3","tep"
"2007","CHÂTEAU-ARNOUX-SAINT-AUBAN (04)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","CHÂTEAU-ARNOUX-SAINT-AUBAN (04)","Tous secteurs","Toutes énergies","conso","15893.2","tep"
"2007","CHÂTEAUDOUBLE (83)","Tous secteurs","Toutes énergies","conso","900.8","tep"
"2007","CHÂTEAUFORT (04)","Tous secteurs","Toutes énergies","conso","223.9","tep"
"2007","CHÂTEAUNEUF-DE-GADAGNE (84)","Tous secteurs","Toutes énergies","conso","5927.4","tep"
"2007","CHÂTEAUNEUF-D'ENTRAUNES (06)","Tous secteurs","Toutes énergies","conso","61.6","tep"
"2007","CHÂTEAUNEUF-D'OZE (05)","Tous secteurs","Toutes énergies","conso","289.7","tep"
"2007","CHÂTEAUNEUF-DU-PAPE (84)","Tous secteurs","Toutes énergies","conso","3497.6","tep"
"2007","CHÂTEAUNEUF-GRASSE (06)","Tous secteurs","Toutes énergies","conso","5117.3","tep"
"2007","CHÂTEAUNEUF-LE-ROUGE (13)","Tous secteurs","Toutes énergies","conso","19363.4","tep"
"2007","CHÂTEAUNEUF-LES-MARTIGUES (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
